"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is_Value","-1.02 [-2 - -0.08]","Yes"
"2","Is_Artifact_Is_Value","-0.68 [-1.68 - 0.2]","No"
"3","Is_Artifact_Is_Natural","0.35 [-0.86 - 1.56]","No"
