"","Comparison","Effect","Compelling_difference"
"1","Both_natural_kind_Both_value","1.07 [0.14 - 1.95]","Yes"
"2","Both_artifact_Both_value","0.62 [-0.05 - 1.26]","No"
"3","Both_artifact_Both_natural_kind","-0.45 [-1.26 - 0.35]","No"
