"","Comparison","Effect","Compelling_difference"
"1","Akira right_natural_kind_Akira right_value","0.7 [-0.12 - 1.43]","No"
"2","Akira right_artifact_Akira right_value","0.43 [-0.15 - 0.91]","No"
"3","Akira right_artifact_Akira right_natural_kind","-0.27 [-0.9 - 0.42]","No"
