"","Comparison","Effect","Compelling_difference"
"1","Elaine right_artifact_Akira right_artifact","-1.45 [-2.55 - -0.32]","Yes"
"2","Both_artifact_Elaine right_artifact","1.53 [0.25 - 2.84]","Yes"
"3","Both_artifact_Akira right_artifact","0.08 [-0.62 - 0.77]","No"
