"","Comparison","Effect","Compelling_difference"
"1","Is_Value_Is not_Value","0.84 [-0.41 - 2.19]","No"
"2","Is_Value_Both_Value","3.99 [2.85 - 5.17]","Yes"
"3","Both_Value_Is not_Value","-3.15 [-4.53 - -1.88]","Yes"
