"","Comparison","Effect","Compelling_difference"
"1","Elaine right_natural_kind_Akira right_natural_kind","-2.17 [-3.73 - -0.63]","Yes"
"2","Both_natural_kind_Elaine right_natural_kind","2.44 [0.6 - 4.08]","Yes"
"3","Both_natural_kind_Akira right_natural_kind","0.27 [-0.57 - 0.97]","No"
