"","Comparison","Effect","Compelling_difference"
"1","Both_Natural_Both_Value","1.23 [0.58 - 1.85]","Yes"
"2","Both_Artifact_Both_Value","0.83 [0.18 - 1.45]","Yes"
"3","Both_Artifact_Both_Natural","-0.39 [-1.26 - 0.36]","No"
