"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is not_Natural","0.77 [-1.06 - 2.55]","No"
"2","Is_Natural_Both_Natural","1.74 [0.38 - 3.15]","Yes"
"3","Both_Natural_Is not_Natural","-0.97 [-2.52 - 0.64]","No"
