"","Comparison","Effect","Compelling_difference"
"1","Is not_Natural_Is not_Value","-0.95 [-1.79 - -0.12]","Yes"
"2","Is not_Artifact_Is not_Value","-0.69 [-1.52 - 0.11]","No"
"3","Is not_Artifact_Is not_Natural","0.26 [-0.79 - 1.3]","No"
